,name,comment,processed_text,demojize_text
93,swagxyy,Doesn't just defeat the purpose of safe entry scan? It's practically the same thing.,"['defeat', 'purpos', 'safe', 'entri', 'scan', 'practic', 'thing']",Doesn't just defeat the purpose of safe entry scan? It's practically the same thing.
94,yeethannnnnn,fix the ceiling den talk,"['fix', 'ceil', 'den', 'talk']",fix the ceiling den talk
95,moemasrimohd,"When everyone uses it, it is TraceTogetherGether 😆","['everyon', 'use', 'tracetogethergeth']","When everyone uses it, it is TraceTogetherGether :grinning_squinting_face:"
96,ajako_83,@xurxx_ Nonsense! Ingat semua yg tgk wayang bwk beg agaknye..,"['nonsens', 'ingat', 'semua', 'yg', 'tgk', 'wayang', 'bwk', 'beg', 'agakny']",@xurxx_ Nonsense! Ingat semua yg tgk wayang bwk beg agaknye..
97,rlchelle,thought this was airpods,"['thought', 'airpod']",thought this was airpods
98,soph3994,@janbissinger they are forcing it on people now 😂,"['forc', 'peopl']",@janbissinger they are forcing it on people now :face_with_tears_of_joy:
99,nathxshaax,@blzj_ ur leg the gps tagging can use anot,"['ur', 'leg', 'gp', 'tag', 'use', 'anot']",@blzj_ ur leg the gps tagging can use anot
100,zakross.kizz,Fuck this shit,"['fuck', 'shit']",Fuck this shit
101,sheearam,lame,['lame'],lame
102,m.maaxxy,where to buy ah,"['buy', 'ah']",where to buy ah
103,m.maaxxy,my fbi agent: shit sg thinking one step ahead,"['fbi', 'agent', 'shit', 'sg', 'think', 'one', 'step', 'ahead']",my fbi agent: shit sg thinking one step ahead
104,nadiahabdhalim,Bruh @abusufiaaan,['bruh'],Bruh @abusufiaaan
105,buhrendon,guess i just have to not spend money for the goverment😢,"['guess', 'spend', 'money', 'gover']",guess i just have to not spend money for the goverment:crying_face:
106,ignaciopoh,@nanawongcl,[],@nanawongcl
107,hoshinootnoot,Yeah i'll stay at home and stream ✨illegally✨,"['yeah', 'stay', 'home', 'stream', 'illeg']",Yeah i'll stay at home and stream :sparkles:illegally:sparkles:
108,_bevk,@hhenriettaaa @daryl.tayyyy,[],@hhenriettaaa @daryl.tayyyy
109,benwkm,RP also forcing students to download this app lol,"['rp', 'also', 'forc', 'student', 'download', 'app', 'lol']",RP also forcing students to download this app lol
110,ricecrumbs,Not stonks,['stonk'],Not stonks
111,kiyoriyuto,how tf you even get the token,"['tf', 'even', 'get', 'token']",how tf you even get the token
112,arielkumartan_16,Don’t have trace together token so how can use app or not,"['trace', 'togeth', 'token', 'use', 'app']",Don’t have trace together token so how can use app or not
113,jasonjsong,"TraceTogether, WatchTogether","['tracetogeth', 'watchtogeth']","TraceTogether, WatchTogether"
114,isaackho_03,Can I substitute it with Apple airpods instead?,"['substitut', 'appl', 'airpod', 'instead']",Can I substitute it with Apple airpods instead?
115,singaporeuntold,Meh pass.,"['meh', 'pass']",Meh pass.
116,imdabian,airpods gen 3,"['airpod', 'gen']",airpods gen 3
117,_kawaii.usagi_,Spreading corona with that shit if cinemas lazy to disinfect,"['spread', 'corona', 'shit', 'cinema', 'lazi', 'disinfect']",Spreading corona with that shit if cinemas lazy to disinfect
118,araquielarts,I guess at least they'll know where I went if I go missing under mysterious circumstances.,"['guess', 'least', 'know', 'went', 'go', 'miss', 'mysteri', 'circumst']",I guess at least they'll know where I went if I go missing under mysterious circumstances.
119,moses_aqx,North Koreans: we don't even have to try,"['north', 'korean', 'even', 'tri']",North Koreans: we don't even have to try
120,t.huitingg,@reus_tan,[],@reus_tan
121,legendaryonionring,tracing is government sus tactic,"['trace', 'govern', 'su', 'tactic']",tracing is government sus tactic
122,_the_most_trusted_,"нєℓℓσ ι'м σℓ∂ мσиєу ¢σℓℓє¢тσя αи∂ ι ʝυѕт ωαииα ιиfσямє∂ уσυ тσ ρм мє вα¢к ιf уσυ нανє σℓ∂ мαℓαуѕιαи, ∂υвαι, υαє,ѕιиgαρσяє,вяυиєι,¢нιиα ¢σιи,σℓ∂ ʝυяιєѕ,σℓ∂ ℓαмρ σя иσтє fσя ѕαℓє!!!! ?????????? ✅✅✅✅",[],"нєℓℓσ ι'м σℓ∂ мσиєу ¢σℓℓє¢тσя αи∂ ι ʝυѕт ωαииα ιиfσямє∂ уσυ тσ ρм мє вα¢к ιf уσυ нανє σℓ∂ мαℓαуѕιαи, ∂υвαι, υαє,ѕιиgαρσяє,вяυиєι,¢нιиα ¢σιи,σℓ∂ ʝυяιєѕ,σℓ∂ ℓαмρ σя иσтє fσя ѕαℓє!!!! ?????????? :check_mark_button::check_mark_button::check_mark_button::check_mark_button:"
123,ichelodier,lol have fun getting tracked by the government,"['lol', 'fun', 'get', 'track', 'govern']",lol have fun getting tracked by the government
124,woofiee._,B,['b'],B
125,scammerdanielfong,VIEW MY PROFILE FOR SG TOP STUDENT SCAM. Like this comment to raise awareness,"['view', 'profil', 'sg', 'top', 'student', 'scam', 'like', 'comment', 'rais', 'awar']",VIEW MY PROFILE FOR SG TOP STUDENT SCAM. Like this comment to raise awareness
126,midnightshadow_lim,Mugen Train,"['mugen', 'train']",Mugen Train
