,name,comment,processed_text,demojize_text
17,yethidran_prakash_nair,When will Geylang be open? Other businesses can resume but not Geylang??  Why the double standards?,"['geylang', 'open', 'busi', 'resum', 'geylang', 'doubl', 'standard']",When will Geylang be open? Other businesses can resume but not Geylang??  Why the double standards?
0,k10k.messi,"My guy literally said “yeea, but we have that at home”","['guy', 'liter', 'said', 'yeea', 'home']","My guy literally said “yeea, but we have that at home”"
1,als._.xn25,Anti vaxxers: tHe vAcCiNe is nOt safe. We have the rights to not take it,"['anti', 'vaxxer', 'vaccin', 'safe', 'right', 'take']",Anti vaxxers: tHe vAcCiNe is nOt safe. We have the rights to not take it
2,christoh_88,Still unclear about the vaccine. Too short time in trial period. Worrisome 😢😢,"['still', 'unclear', 'vaccin', 'short', 'time', 'trial', 'period', 'worrisom']",Still unclear about the vaccine. Too short time in trial period. Worrisome :crying_face::crying_face:
3,melwu5057,Don't give up marching on you are able to do it Singaporean people are counting on your help to get this true this is the very last run of the race than we have beaten the covid19 virus,"['give', 'march', 'abl', 'singaporean', 'peopl', 'count', 'help', 'get', 'true', 'last', 'run', 'race', 'beaten', 'viru']",Don't give up marching on you are able to do it Singaporean people are counting on your help to get this true this is the very last run of the race than we have beaten the covid19 virus
4,mhdnurirwan,"As long as you stay home and never contracted the virus, this shouldn't worry you because you dont need to take it anyway. Moving on~","['long', 'stay', 'home', 'never', 'contract', 'viru', 'worri', 'dont', 'need', 'take', 'anyway', 'move']","As long as you stay home and never contracted the virus, this shouldn't worry you because you dont need to take it anyway. Moving on~"
5,princessteddy218sg,👍👏❤️,[],:thumbs_up::clapping_hands::red_heart:
6,airildanial,The syringe is so cuteeeee omgg,"['syring', 'cuteeee', 'omgg']",The syringe is so cuteeeee omgg
7,normanibnuabdullah,1 shot $82?Wow they really make big money,"['shot', 'wow', 'realli', 'make', 'big', 'money']",1 shot $82?Wow they really make big money
8,jinnnie.jin,I was thinking will having multiple vaccines have an effect on the virus? Like more likely for COVID’ 19 to mutate?,"['think', 'multipl', 'vaccin', 'effect', 'viru', 'like', 'like', 'covid', 'mutat']",I was thinking will having multiple vaccines have an effect on the virus? Like more likely for COVID’ 19 to mutate?
9,eze_txh,Is there a specific date for reopening of phase 3,"['specif', 'date', 'reopen', 'phase']",Is there a specific date for reopening of phase 3
10,wcjonathan9919,Then why u open our doors for other countries to travel here???????????,"['u', 'open', 'door', 'countri', 'travel']",Then why u open our doors for other countries to travel here???????????
11,rusyd68,"Goodness me, when is this Great Reset expected to be completed?","['good', 'great', 'reset', 'expect', 'complet']","Goodness me, when is this Great Reset expected to be completed?"
12,henrychong21,Good,['good'],Good
13,henrychong21,"Allowing stupid travellers in without SHN IS A KILLER. If one is infected, isn't all our efforts wasted? Won't we have to return to phase 1? Won't it be the next dumbest mistakes that the govt do?","['allow', 'stupid', 'travel', 'without', 'shn', 'killer', 'one', 'infect', 'effort', 'wast', 'wo', 'return', 'phase', 'wo', 'next', 'dumbest', 'mistak', 'govt']","Allowing stupid travellers in without SHN IS A KILLER. If one is infected, isn't all our efforts wasted? Won't we have to return to phase 1? Won't it be the next dumbest mistakes that the govt do?"
