,index,Sentences,Comment Datetime,Textblob_polarity_score,Textblob_subjectivity_score,Vader_neg_score,Vader_neu_score,Vader_pos_score,Vader_compound_score,Emotions
3556,4098,Most of the $100 bils seem try to help big corps and sme businesses in the hope that they can retain as many employees as possible.,2020-05-29,0.25,0.525,0.0,0.811,0.189,0.6808,sadness
3570,4112,Would Mr Lee Kuan Yew have done differently ?,2020-05-29,0.0,0.6,0.0,1.0,0.0,0.0,sadness
3593,4136,Read Food Heals But The Wrong Food Kills written by Jessica Seah from Singapore.,2020-03-28,-0.5,0.9,0.355,0.645,0.0,-0.765,sadness
3595,4138,"According to this brilliant author our immune system is the best doctor and best defence against infections, pathogens, diseases, free radicals and cancer cells!",2020-03-28,0.85,0.6000000000000001,0.106,0.41,0.484,0.9402,sadness
3602,4145,"At the end of the day, there is fine line between PRs and Singaporeans and why some help can not be extended to PRs.",2020-04-06,0.4166666666666667,0.5,0.0,0.83,0.17,0.5423,sadness
3608,4151,"As of now, most things seems blurry, unclear and working on anticipation.",2020-05-03,0.5,0.5,0.261,0.64,0.1,-0.3102,sadness
3620,4163,"I am not sure about others, but personally I am extremely disappointed with this Unity Budget.",2020-03-26,-0.5,0.8194444444444444,0.336,0.664,0.0,-0.7245,sadness
3677,4221,"Because of pandemic, then we have free $100 tourism vouchers.",17/9/20,0.4,0.8,0.0,0.732,0.268,0.5106,sadness
3712,4256,"(sorry, not sorry).",17/9/20,-0.125,1.0,0.0,1.0,0.0,0.0,sadness
3727,4271,I think I didn't ride that many rides but I think I got tma feel of how the park is like.,16/9/20,0.5,0.5,0.0,0.831,0.169,0.5023,sadness
3739,4283,I think the only thing that truly feels a bit off living here atm as a foreigner is you can feel there is a tension in the air around us being here.,17/9/20,0.0,1.0,0.074,0.833,0.093,0.1531,sadness
3743,4287,"Some would rejoice, another foreigner gone, however I can’t help but wonder who is going to replace me as no one is Singapore is trained in what I do as there is no university course for it here or training opportunities as it’s an incredibly niche field.",17/9/20,0.9,0.9,0.106,0.758,0.136,0.1531,sadness
3749,4293,Resources are endless and business is bleeding.,16/9/20,-0.125,0.75,0.0,1.0,0.0,0.0,sadness
3807,4351,"> Simlarly, vouchers can only be redeemed for cruises as part of a bundled package.",24/11/20,0.0,1.0,0.0,0.839,0.161,0.3182,sadness
3842,4386,> Each physical counter caters for bookings from only one of the three mentioned booking partners.,24/11/20,0.0,0.5714285714285714,0.0,1.0,0.0,0.0,sadness
3886,4431,But I also think most people are like me.,23/11/20,0.5,0.5,0.0,0.717,0.283,0.4144,sadness
3895,4440,Sorry for the rant.,13/1/21,-0.5,1.0,0.649,0.351,0.0,-0.4019,sadness
3929,4478,The earlier 3 budgets seemed to have helped businesses quite substantially.,26/5/20,0.0,0.5,0.0,1.0,0.0,0.0,sadness
3950,4499,The thing is they can help businesses all they want but if the business don’t transfer those benefits down to the employees then that’s also a little lame.,26/5/20,-0.2810185185185185,0.512962962962963,0.1,0.704,0.196,0.2823,sadness
4018,4568,Tenants had to share sales information so the rent will be base rental + % revenue.,26/5/20,-0.8,1.0,0.0,0.855,0.145,0.296,sadness
4024,4574,"Just hope I can be someone who can at least show that not all companies are just trying to make sure they “stay rich” 

I hope the best for you",26/5/20,0.39375,0.5847222222222221,0.0,0.661,0.339,0.9062,sadness
4053,4603,"For instance, retail sales (of non-essential goods) probably dropped somewhat during 1985, 1997, and 2009, but sales certainly didn't go to zero for two months.",26/5/20,0.21428571428571427,0.5714285714285714,0.0,0.886,0.114,0.4767,sadness
4058,4608,"However, letting lots of companies fail isn't tenable either -- ultimately when companies go bankrupt, it is citizens like you and I that get laid off and end up with no income.",26/5/20,-0.25,0.6499999999999999,0.24,0.696,0.064,-0.7783,sadness
4059,4609,"I don't have good answers to many of these questions, and I am glad I am not in government where they have to weigh these decisions constantly.",26/5/20,0.425,0.6083333333333334,0.088,0.803,0.109,0.1516,sadness
4062,4613,"Tax more during good times, stimulus during bad.",26/5/20,0.1666666666666667,0.5888888888888889,0.276,0.473,0.251,-0.0828,sadness
4063,4614,Part of the issue is that a more conservative company will always lose out one that's more aggressively leveraged when competing against each other; the free market basically doesn't allow companies to save for a rainy day on a large scale.,26/5/20,0.2978571428571428,0.5207142857142857,0.177,0.684,0.139,0.0621,sadness
